workers,run,baseline_ops_sec,patched_ops_sec,throughput_gain_pct,baseline_avg_lat_ms,patched_avg_lat_ms,avg_lat_reduction_pct,baseline_context_switches,patched_context_switches,context_switches_reduction_pct,baseline_cpu_cycles,patched_cpu_cycles,cpu_cycles_reduction_pct,baseline_cache_misses,patched_cache_misses,cache_misses_reduction_pct,baseline_l1_dcache_misses,patched_l1_dcache_misses,l1_dcache_misses_reduction_pct
1,Run 1,4363.54,4347.12,-0.38,0.229,0.23,-0.44,175001,174784,0.12,20508355541,32765048958,-59.76,6005765,9263246,-54.24,402319688,413903861,-2.88
1,Run 2,4453.78,3950.7,-11.3,0.225,0.253,-12.44,178374,168710,5.42,21102238167,18735624701,11.21,6480330,5484711,15.36,407592850,364542098,10.56
1,Run 3,4200.81,4133.84,-1.59,0.238,0.242,-1.68,170146,174768,-2.72,19913892421,19617972115,1.49,5716317,6502403,-13.75,393604796,379440105,3.6
1,Mean,4339.38,4143.89,-4.51,0.231,0.242,-4.77,174507,172754,1.0,20508162043,23706215258,-15.59,6067470,7083453,-16.74,401172444,385962021,3.79
1,StdDev,128.2,198.4,,0.007,0.012,,4136,3502,,594172896,7857575023,,385726,1955133,,7064243,25318914,
4,Run 1,7345.48,7075.77,-3.67,0.545,0.565,-3.67,401721,388472,3.3,50574618320,49833966779,1.46,23408794,23201906,0.88,866548520,853446707,1.51
4,Run 2,7182.87,7259.1,1.06,0.557,0.551,1.08,392667,397425,-1.21,49525947620,50371441660,-1.71,20700659,24979341,-20.67,860536569,874262310,-1.6
4,Run 3,7198.53,6953.35,-3.41,0.556,0.575,-3.42,396619,384734,3.0,51389715445,49916446071,2.87,28363090,25128119,11.41,854467397,834356843,2.35
4,Mean,7242.29,7096.07,-2.02,0.553,0.564,-1.99,397002,390210,1.71,50496760461,50040618170,0.9,24157514,24436455,-1.15,860517495,854021953,0.75
4,StdDev,89.7,153.88,,0.007,0.012,,4539,6521,,934320079,289454391,,3885697,1071735,,6040584,19958951,
8,Run 1,6730.31,6565.41,-2.45,1.189,1.219,-2.52,374269,366393,2.1,53332557537,52968473988,0.68,38908754,39079317,-0.44,893019037,887498054,0.62
8,Run 2,6512.05,6420.92,-1.4,1.228,1.246,-1.47,366009,360738,1.44,52549593628,52113836113,0.83,40657831,39781937,2.15,871842376,865468128,0.73
8,Run 3,6637.03,6531.22,-1.59,1.205,1.225,-1.66,370135,361840,2.24,53072656783,52600660130,0.89,39441489,37916919,3.87,881096169,880635433,0.05
8,Mean,6626.46,6505.85,-1.82,1.207,1.23,-1.88,370137,362990,1.93,52984935982,52560990077,0.8,39669358,38926057,1.87,881985860,877867205,0.47
8,StdDev,109.51,75.51,,0.02,0.014,,4130,2997,,398784810,428697748,,896527,941907,,10616327,11272831,
16,Run 1,4599.4,4610.59,0.24,3.479,3.47,0.26,283408,284133,-0.26,47501802456,47690402623,-0.4,52214280,53296182,-2.07,767202681,773720382,-0.85
16,Run 2,4579.58,4586.47,0.15,3.494,3.489,0.14,281932,285320,-1.2,47446962452,47988359686,-1.14,53945973,54644780,-1.3,768251556,780891970,-1.65
16,Run 3,4781.99,4683.34,-2.06,3.346,3.416,-2.09,301292,292943,2.77,49729563559,48742005475,1.99,57324965,56427092,1.57,799962920,787046766,1.61
16,Mean,4653.66,4626.8,-0.58,3.44,3.458,-0.54,288877,287465,0.49,48226109489,48140255928,0.18,54495072,54789351,-0.54,778472385,780553039,-0.27
16,StdDev,111.58,50.43,,0.081,0.038,,10776,4780,,1302318110,542006910,,2599212,1570453,,18618736,6669653,
32,Run 1,3372.57,3334.89,-1.12,9.488,9.596,-1.14,235036,226474,3.64,48164192811,47448430111,1.49,59985462,57130063,4.76,800757948,790117514,1.33
32,Run 2,3398.32,3430.36,0.94,9.416,9.328,0.93,235344,238570,-1.37,47834963225,48505719721,-1.4,58934931,60564414,-2.76,803452174,813347972,-1.23
32,Run 3,3519.42,3420.54,-2.81,9.092,9.355,-2.89,245020,236798,3.36,49673002789,47957451878,3.45,61811954,58802227,4.87,829323077,807488269,2.63
32,Mean,3430.1,3395.26,-1.02,9.332,9.426,-1.01,238466,233947,1.9,48557386275,47970533903,1.21,60244115,58832234,2.34,811177733,803651251,0.93
32,StdDev,78.41,52.51,,0.211,0.148,,5677,6532,,980075601,528766190,,1455847,1717372,,15771963,12081207,
64,Run 1,2294.12,2104.8,-8.25,27.897,30.407,-9.0,168774,153584,9.0,47839219151,44512000066,6.96,60349006,55600901,7.87,843688918,782783336,7.22
64,Run 2,2209.13,2269.96,2.75,28.971,28.194,2.68,162740,165898,-1.94,46258669133,47482332268,-2.65,57891168,60006586,-3.65,813482295,834180815,-2.54
64,Run 3,2200.34,2185.35,-0.68,29.086,29.286,-0.69,161595,160484,0.69,46599581184,46475234025,0.27,56831177,57891684,-1.87,808483413,807173238,0.16
64,Mean,2234.53,2186.7,-2.14,28.651,29.296,-2.25,164369,159988,2.67,46899156489,46156522119,1.58,58357117,57833057,0.9,821884875,808045796,1.68
64,StdDev,51.79,82.59,,0.656,1.107,,3856,6171,,831771370,1510596341,,1804608,2203427,,19047556,25709846,
