clients,run,baseline_ops_sec,patched_ops_sec,throughput_gain_pct,baseline_avg_lat_ms,patched_avg_lat_ms,avg_lat_reduction_pct,baseline_p99_lat_ms,patched_p99_lat_ms,p99_reduction_pct,baseline_max_lat_ms,patched_max_lat_ms,max_lat_reduction_pct,baseline_context_switches,patched_context_switches,context_switches_reduction_pct,baseline_cpu_cycles,patched_cpu_cycles,cpu_cycles_reduction_pct,baseline_cache_misses,patched_cache_misses,cache_misses_reduction_pct,baseline_l1_dcache_misses,patched_l1_dcache_misses,l1_dcache_misses_reduction_pct
10,Run 1,124341.65,119533.27,-3.87,0.08,0.083,-3.75,0.143,0.119,16.78,0.999,0.919,8.01,728953,768913,-5.48,50135605168,45451080051,9.34,94850977,83914909,11.53,831730632,799616755,3.86
10,Run 2,122154.15,132588.12,8.54,0.081,0.075,7.41,0.135,0.111,17.78,3.487,0.959,72.5,709436,769766,-8.5,49185079630,52674823547,-7.1,100246056,95016300,5.22,811264220,896329330,-10.49
10,Run 3,133649.73,136025.77,1.78,0.074,0.073,1.35,0.135,0.111,17.78,0.943,1.567,-66.17,751189,808725,-7.66,50612487063,51795279801,-2.34,101828018,83752220,17.75,883081114,905964393,-2.59
10,Mean,126715.18,129382.39,2.1,0.078,0.077,1.7,0.138,0.114,17.43,1.81,1.148,36.54,729859,782468,-7.21,49977723953,49973727799,0.01,98975017,87561143,11.53,842025322,867303492,-3.0
10,StdDev,6104.29,8701.04,,0.004,0.005,,0.005,0.005,,1.453,0.363,,20891,22743,,726682773,3941339403,,3658063,6456867,,36998676,58816064,
50,Run 1,327766.66,318259.57,-2.9,0.152,0.156,-2.63,0.247,0.247,0.0,6.271,6.239,0.51,143525,170046,-18.48,96211825023,94002526138,2.3,203975081,202525757,0.71,1587871322,1566108217,1.37
50,Run 2,320614.56,295602.59,-7.8,0.155,0.168,-8.39,0.359,0.415,-15.6,6.399,7.199,-12.5,180042,118112,34.4,105058604244,97187661614,7.49,186356253,174162673,6.54,1678697930,1568451725,6.57
50,Run 3,325721.53,339561.78,4.25,0.153,0.146,4.58,0.231,0.215,6.93,6.239,7.231,-15.9,243966,247768,-1.56,98125797014,103403844386,-5.38,193353666,207306490,-7.22,1620019586,1689174594,-4.27
50,Mean,324700.92,317807.98,-2.12,0.153,0.157,-2.17,0.279,0.292,-4.78,6.303,6.89,-9.31,189177,178642,5.57,99798742093,98198010712,1.6,194561666,194664973,-0.05,1628862946,1607911512,1.29
50,StdDev,3683.66,21983.07,,0.002,0.011,,0.07,0.107,,0.085,0.564,,50839,65254,,4654614331,4781401486,,8871314,17915693,,46054553,70385647,
100,Run 1,403965.51,409758.31,1.43,0.246,0.243,1.22,0.615,0.455,26.02,6.943,6.751,2.77,18864,10210,45.88,118784006539,119177237569,-0.33,241433598,266899942,-10.55,1914795905,1890023745,1.29
100,Run 2,415430.57,428937.94,3.25,0.239,0.232,2.93,0.439,0.439,0.0,7.167,1.775,75.23,11990,9345,22.06,115429497842,119088816174,-3.17,247446682,267273370,-8.01,1875232614,1922394676,-2.51
100,Run 3,398775.96,381851.85,-4.24,0.25,0.261,-4.4,0.471,0.671,-42.46,7.295,7.135,2.19,15889,19564,-23.13,113918459680,118342799604,-3.88,246512949,230088452,6.66,1843482012,1841327198,0.12
100,Mean,406057.35,406849.37,0.2,0.245,0.245,-0.14,0.508,0.522,-2.62,7.135,5.22,26.83,15581,13039,16.31,116043988020,118869617782,-2.43,245131076,254753921,-3.93,1877836843,1884581873,-0.36
100,StdDev,8522.08,23677.45,,0.006,0.015,,0.094,0.13,,0.178,2.99,,3447,5666,,2490298213,458374988,,3235965,21361739,,35728200,40806794,
200,Run 1,426103.4,424097.89,-0.47,0.468,0.47,-0.43,0.895,0.911,-1.79,7.711,9.983,-29.46,20115,24452,-21.56,118956328459,118931825982,0.02,255966146,263208826,-2.83,1905257745,1921203317,-0.84
200,Run 2,416303.19,410795.78,-1.32,0.479,0.485,-1.25,0.927,0.927,0.0,8.319,8.255,0.77,19037,24596,-29.2,118897424343,116112508176,2.34,259001956,251570572,2.87,1872968209,1892182839,-1.03
