backends,run,baseline_tps,patched_tps,tps_gain_pct,baseline_avg_lat_ms,patched_avg_lat_ms,avg_lat_reduction_pct,baseline_p99_lat_ms,patched_p99_lat_ms,p99_reduction_pct,baseline_max_lat_ms,patched_max_lat_ms,max_lat_reduction_pct,baseline_context_switches,patched_context_switches,context_switches_reduction_pct,baseline_cpu_cycles,patched_cpu_cycles,cpu_cycles_reduction_pct,baseline_cache_misses,patched_cache_misses,cache_misses_reduction_pct,baseline_l1_dcache_misses,patched_l1_dcache_misses,l1_dcache_misses_reduction_pct
1,Run 1,5546.09,5533.76,-0.22,0.18,0.181,-0.56,0.189,0.19,-0.53,1.063,0.916,13.83,443774,442891,0.2,26306532606,26246466174,0.23,401364,496951,-23.82,330984737,333251567,-0.68
1,Run 2,5669.36,6307.22,11.25,0.176,0.159,9.66,0.189,0.18,4.76,1.059,1.071,-1.13,453788,504678,-11.21,26489888866,29273964023,-10.51,562315,844539,-50.19,341176337,382375641,-12.08
1,Run 3,5585.38,5632.15,0.84,0.179,0.178,0.56,0.189,0.187,1.06,1.019,1.004,1.47,446793,450639,-0.86,26484698976,26012307325,1.78,256040,566288,-121.17,334393396,343497311,-2.72
1,Mean,5600.28,5824.38,4.0,0.178,0.173,3.18,0.189,0.186,1.76,1.047,0.997,4.78,448118,466069,-4.01,26427040149,27177579174,-2.84,406573,635926,-56.41,335518156,353041506,-5.22
1,StdDev,62.97,421.04,,0.002,0.012,,0.0,0.005,,0.024,0.078,,5136,33659,,104394850,1819293727,,153203,183960,,5188062,25915485,
4,Run 1,22675.07,22499.16,-0.78,0.176,0.178,-1.14,0.187,0.192,-2.67,1.051,1.204,-14.56,1810265,1796844,0.74,105652359542,105286891462,0.35,4750983,5453594,-14.79,1344944549,1346650012,-0.13
4,Run 2,22733.55,22693.94,-0.17,0.176,0.176,0.0,0.189,0.191,-1.06,1.527,1.043,31.7,1815155,1812153,0.17,106403997952,104755720119,1.55,4690503,5051626,-7.7,1344214952,1360038197,-1.18
4,Run 3,21769.01,21880.86,0.51,0.184,0.183,0.54,0.21,0.21,0.0,0.987,1.03,-4.36,1737943,1747152,-0.53,104434323734,105019890550,-0.56,4502117,4326333,3.9,1290816015,1331959539,-3.19
4,Mean,22392.54,22357.99,-0.15,0.179,0.179,-0.19,0.195,0.198,-1.19,1.188,1.092,8.08,1787787,1785383,0.13,105496893742,105020834043,0.45,4647867,4943851,-6.37,1326658505,1346215916,-1.47
4,StdDev,540.79,424.53,,0.005,0.004,,0.013,0.011,,0.295,0.097,,43235,33982,,993997657,265586928,,129795,571306,,31042650,14044361,
8,Run 1,42863.83,45021.22,5.03,0.187,0.178,4.81,0.229,0.2,12.66,1.537,1.105,28.11,3420469,3593529,-5.06,215614851180,212347845674,1.52,9086636,8632262,5.0,2628345855,2698178427,-2.66
8,Run 2,44095.52,44804.41,1.61,0.181,0.179,1.1,0.229,0.218,4.8,1.541,1.068,30.69,3519742,3576455,-1.61,210112036131,213686629807,-1.7,10641158,10010744,5.92,2654957881,2732563998,-2.92
8,Run 3,44577.75,43518.8,-2.38,0.179,0.184,-2.79,0.22,0.232,-5.45,1.065,1.357,-27.42,3557588,3473279,2.37,215004383150,212167787646,1.32,9569817,8789745,8.15,2689810751,2679552099,0.38
8,Mean,43845.7,44448.14,1.37,0.182,0.18,1.1,0.226,0.217,4.13,1.381,1.177,14.8,3499266,3547754,-1.39,213577090153,212734087709,0.39,9765870,9144250,6.37,2657704829,2703431508,-1.72
8,StdDev,883.84,812.1,,0.004,0.003,,0.005,0.016,,0.274,0.157,,70815,65060,,3016308561,829823812,,795589,754525,,30824384,26893521,
