vcpus,run,baseline_mops_sec,patched_mops_sec,throughput_gain_pct,baseline_avg_lat_ns,patched_avg_lat_ns,avg_lat_reduction_pct,baseline_context_switches,patched_context_switches,context_switches_reduction_pct,baseline_cpu_cycles,patched_cpu_cycles,cpu_cycles_reduction_pct,baseline_cache_misses,patched_cache_misses,cache_misses_reduction_pct,baseline_l1_dcache_misses,patched_l1_dcache_misses,l1_dcache_misses_reduction_pct
1,Run 1,58.52,1019.85,1642.67,17.09,0.98,94.27,848,659,22.29,12408023086,12409676775,-0.01,67983,59149,12.99,537886,475616,11.58
1,Run 2,58.52,1019.89,1642.88,17.09,0.98,94.27,621,769,-23.83,12408209238,12410671797,-0.02,43422,57540,-32.51,438599,487713,-11.2
1,Run 3,58.52,1019.97,1643.08,17.09,0.98,94.27,738,670,9.21,12417705850,12417117889,0.0,44320,55175,-24.49,459494,471897,-2.7
1,Mean,58.52,1019.9,1642.88,17.09,0.98,94.27,735,699,4.94,12411312724,12412488820,-0.01,51908,57288,-10.36,478659,478408,0.05
1,StdDev,0.0,0.07,,0.0,0.0,,113,60,,5537391,4039644,,13928,1998,,52344,8269,
4,Run 1,4.04,4076.23,100874.33,990.86,0.98,99.9,710,813,-14.51,49529471300,49596207545,-0.13,40373374,330765,99.18,83323680,4126173,95.05
4,Run 2,4.16,4076.56,97902.72,961.62,0.98,99.9,787,818,-3.94,49567859988,49563027868,0.01,41482671,361564,99.13,85513354,4374011,94.88
4,Run 3,3.78,4072.56,107727.1,1059.06,0.98,99.91,669,855,-27.8,49569181090,49665667133,-0.19,37722815,266475,99.29,78177140,4507273,94.23
4,Mean,3.99,4075.12,102003.63,1003.85,0.98,99.9,722,828,-14.77,49555504126,49608300848,-0.11,39859620,319601,99.2,82338058,4335819,94.73
4,StdDev,0.2,2.22,,50.0,0.0,,59,22,,22554763,52377387,,1931860,48517,,3766111,193399,
8,Run 1,3.26,8147.72,249861.29,2454.29,0.98,99.96,808,698,13.61,98649395283,98586197713,0.06,32542739,341093,98.95,125502703,4795265,96.18
8,Run 2,3.55,8147.36,229173.12,2251.26,0.98,99.96,739,878,-18.81,98840756196,99053565630,-0.22,35494171,383695,98.92,135971376,4914907,96.39
8,Run 3,3.61,8152.85,225840.12,2217.04,0.98,99.96,740,719,2.84,98976125982,98634863843,0.34,36110433,416196,98.85,138633821,4444153,96.79
8,Mean,3.47,8149.31,234489.81,2307.53,0.98,99.96,762,765,-0.35,98822092487,98758209062,0.06,34715781,380328,98.9,133369300,4718108,96.46
8,StdDev,0.19,3.07,,128.24,0.0,,39,98,,164162992,256941091,,1906968,37664,,6941517,244677,
16,Run 1,2.91,16294.32,560007.56,5499.91,0.98,99.98,899,914,-1.67,195751308603,196784950445,-0.53,28970576,480710,98.34,213749801,5327020,97.51
16,Run 2,3.09,16300.24,527101.82,5174.91,0.98,99.98,857,803,6.3,196540101272,195561401072,0.5,30989250,455258,98.53,224016658,4684152,97.91
16,Run 3,3.25,16291.4,501396.38,4925.26,0.98,99.98,858,1020,-18.88,196368135348,195995362416,0.19,32435768,530585,98.36,237510283,5703064,97.6
16,Mean,3.08,16295.32,528423.16,5200.03,0.98,99.98,871,912,-4.71,196219848407,196113904644,0.05,30798531,488851,98.41,225092247,5238078,97.67
16,StdDev,0.17,4.5,,288.15,0.0,,23,108,,414777327,620328511,,1740450,38317,,11916702,515245,
32,Run 1,2.77,29074.94,1047724.03,11532.39,1.1,99.99,1361,1220,10.36,392973382133,393415820426,-0.11,27566603,718736,97.39,334441888,7134183,97.87
32,Run 2,2.69,29055.83,1078500.24,11878.93,1.1,99.99,1084,1048,3.32,394268802872,391895308124,0.6,26509546,715549,97.3,323069512,6694126,97.93
32,Run 3,2.61,29033.33,1111695.97,12254.01,1.1,99.99,984,1058,-7.52,394233835842,393291802946,0.24,26087096,651081,97.5,317329477,5781982,98.18
32,Mean,2.69,29054.7,1078659.82,11888.44,1.1,99.99,1143,1108,3.0,393825340282,392867643832,0.24,26721081,695122,97.4,324946959,6536763,97.99
32,StdDev,0.08,20.83,,360.9,0.0,,195,96,,738024518,844347458,,762099,38173,,8709320,689698,
64,Run 1,0.0,32665.2,683192148.17,13385584.02,1.96,100.0,14369,14273,0.67,696935780197,691544785652,0.77,332640,278068,16.41,13187393,11869629,9.99
64,Run 2,0.01,32653.51,636045657.12,12466334.85,1.96,100.0,13771,13736,0.25,693912935813,692030906081,0.27,338213,304503,9.97,12874654,12294103,4.51
64,Run 3,0.01,32653.25,642173583.64,12586528.48,1.96,100.0,13424,14124,-5.21,693083705165,689598691468,0.5,338652,296275,12.51,12477277,11898684,4.64
64,Mean,0.0,32657.32,653151043.4,12812815.78,1.96,100.0,13854,14044,-1.37,694644140391,691058127733,0.52,336501,292948,12.94,12846441,12020805,6.43
64,StdDev,0.0,6.83,,499659.1,0.0,,478,277,,2027465317,1287067957,,3351,13527,,355897,237128,
