run_id,run_type,qps,avg_lat,p50_lat,p95_lat,p99_lat
1,baseline,48024.61,0.304,0.232,0.74,1.08
2,baseline,47800.65,0.306,0.234,0.741,1.082
3,baseline,47969.01,0.305,0.227,0.748,1.087
4,baseline,47621.95,0.31,0.24,0.75,1.118
5,baseline,47731.44,0.308,0.238,0.748,1.088
6,baseline,47984.96,0.307,0.24,0.746,1.081
7,baseline,47813.8,0.307,0.232,0.742,1.083
8,baseline,48009.25,0.306,0.234,0.743,1.093
9,baseline,48446.41,0.302,0.232,0.738,1.08
10,baseline,47934.38,0.305,0.223,0.746,1.085
11,baseline,47436.64,0.309,0.224,0.758,1.111
12,baseline,48268.84,0.302,0.228,0.738,1.09
13,baseline,47722.79,0.306,0.227,0.749,1.104
14,baseline,48121.78,0.305,0.227,0.737,1.073
15,baseline,47828.38,0.306,0.23,0.742,1.062
1,ablation,47675.95,0.307,0.247,0.746,1.079
2,ablation,47422.69,0.308,0.23,0.755,1.111
3,ablation,47064.5,0.311,0.239,0.759,1.125
4,ablation,48035.95,0.305,0.24,0.743,1.087
5,ablation,51264.14,0.285,0.192,0.702,1.047
6,ablation,48342.72,0.304,0.234,0.747,1.108
7,ablation,48446.26,0.303,0.23,0.733,1.066
8,ablation,49376.18,0.298,0.228,0.735,1.071
9,ablation,48496.77,0.302,0.224,0.737,1.068
10,ablation,49182.1,0.297,0.211,0.731,1.069
11,ablation,48383.31,0.304,0.238,0.729,1.064
12,ablation,50454.93,0.288,0.185,0.726,1.103
13,ablation,48207.28,0.305,0.217,0.748,1.086
14,ablation,48417.22,0.302,0.224,0.734,1.085
15,ablation,47812.37,0.307,0.239,0.744,1.067
